x cod0 cod1 cod2 cod3 cod4 cod5 cod6 cod7 cod8 cod9
-1.9984 4.406387861713007e-14 -1.6193428907806366e-13 -1.201949798066567e-13 -8.946551099619897e-14 -1.5316701855946395e-13 -9.501005651379293e-14 -1.360825423986664e-13 -1.7189134259544295e-13 -1.5682920174610985e-13 -1.211156715273749e-13
-1.9968 8.81268348897673e-14 -3.2390154341319006e-13 -2.404342481479343e-13 -1.7896582336516883e-13 -3.063847843938556e-13 -1.9003835264322086e-13 -2.722039784415359e-13 -3.4382658521605235e-13 -3.1371803347224114e-13 -2.4226491061180316e-13
-1.9952 1.321888688179184e-13 -4.859017630054003e-13 -3.607178050238499e-13 -2.685009371069157e-13 -4.596532975031947e-13 -2.8508488838829613e-13 -4.0836430812862093e-13 -5.15805727861852e-13 -4.706664951784129e-13 -3.634477172532979e-13
-1.9936 1.762499804015957e-13 -6.479349478547407e-13 -4.810456504344365e-13 -3.5807085222146537e-13 -6.129725578875259e-13 -3.801496637490445e-13 -5.44563531459961e-13 -6.878287705328902e-13 -6.276745868646692e-13 -4.846640914518931e-13
-1.992 2.203101696407931e-13 -8.100010979611888e-13 -6.014177843796775e-13 -4.476755687088058e-13 -7.66342565546826e-13 -4.752326787254541e-13 -6.808016484355371e-13 -8.598957132291415e-13 -7.847423085309876e-13 -6.059140332075706e-13
-1.9904 2.6436943653551083e-13 -9.721002133247427e-13 -7.218342068595725e-13 -5.373150865689354e-13 -9.197633204810966e-13 -5.703339333175233e-13 -8.170786590553486e-13 -1.0320065559506067e-12 -9.418696601773686e-13 -7.271975425203336e-13
-1.9888 3.084277810857485e-13 -1.1342322939454053e-12 -8.422949178741214e-13 -6.269894058018563e-13 -1.0732348226903363e-12 -6.654534275252529e-13 -9.533945633193968e-13 -1.2041612986972868e-12 -1.0990566418038115e-12 -8.48514619390178e-13
-1.9872 3.5248520329150034e-13 -1.2963973398231516e-12 -9.627999174233082e-13 -7.16698526407554e-13 -1.2267570721745233e-12 -7.605911613486305e-13 -1.089749361227661e-12 -1.3763599414691559e-12 -1.256303253410297e-12 -9.698652638170891e-13
-1.9856 3.965417031527782e-13 -1.4585953509580276e-12 -1.0833492055071661e-12 -8.064424483860549e-13 -1.3803300689337028e-12 -8.557471347876807e-13 -1.2261430527801797e-12 -1.5486024842662647e-12 -1.4136094949968637e-12 -1.0912494758011005e-12
-1.984 4.4059728066957665e-13 -1.6208263273500102e-12 -1.2039427821256787e-12 -8.962211717373456e-13 -1.5339538129678507e-12 -9.509213478423914e-13 -1.3625756379769362e-12 -1.7208889270885874e-12 -1.5709753665634953e-12 -1.2126672553421957e-12
-1.9824 4.846519358418948e-13 -1.7830902689991011e-12 -1.3245806472788447e-12 -9.860346964614268e-13 -1.6876283042769688e-12 -1.0461138005127626e-12 -1.4990471168179273e-12 -1.893219269936122e-12 -1.728400868110188e-12 -1.3341186024403734e-12
-1.9808 5.287056686697335e-13 -1.9453871759053e-12 -1.4452628009666664e-12 -1.075883022558299e-12 -1.8413535428610566e-12 -1.1413244927987942e-12 -1.6355574893031557e-12 -2.065593512808873e-12 -1.885885999636944e-12 -1.4556035170956341e-12
-1.9792 5.727584791530859e-13 -2.107717048068583e-12 -1.5659892431891235e-12 -1.165766150027947e-12 -1.9951295287200917e-12 -1.2365534247004734e-12 -1.7721067554326001e-12 -2.2380116557068134e-12 -2.0434307611437404e-12 -1.5771219993079614e-12
-1.9776 6.168103672919643e-13 -2.2700798854889946e-12 -1.6867599739462534e-12 -1.255684078870399e-12 -2.1489562618541178e-12 -1.3318005962178269e-12 -1.908694915206298e-12 -2.4104736986299935e-12 -2.2010351526306207e-12 -1.69867404907739e-12
-1.976 6.608613330863636e-13 -2.4324756881665134e-12 -1.8075749932380362e-12 -1.3456368090856405e-12 -2.3028337422631147e-12 -1.4270660073508395e-12 -2.0453219686242327e-12 -2.5829796415783835e-12 -2.358699174097563e-12 -1.8202596664039003e-12
-1.9744 7.049113765362824e-13 -2.594904456101141e-12 -1.928434301064473e-12 -1.4356243406736727e-12 -2.4567619699470813e-12 -1.5223496580995133e-12 -2.181987915686403e-12 -2.755529484551991e-12 -2.5164228255445683e-12 -1.941878851287494e-12
-1.9727999999999999 7.489604976417216e-13 -2.7573661892928742e-12 -2.0493378974255654e-12 -1.5256466736344952e-12 -2.610740944906017e-12 -1.6176515484638454e-12 -2.318692756392811e-12 -2.928123227550813e-12 -2.674206106971635e-12 -2.063531603728173e-12
-1.9712 7.930086964026748e-13 -2.919860887741691e-12 -2.170285782321296e-12 -1.6157038079680944e-12 -2.7647706671398993e-12 -1.7129716784438264e-12 -2.455436490743435e-12 -3.1007608705748248e-12 -2.8320490183787424e-12 -2.1852179237259143e-12
-1.9696 8.370559728191541e-13 -3.082388551447641e-12 -2.2912779557516957e-12 -1.7057957436744972e-12 -2.918851136648774e-12 -1.808310048039481e-12 -2.5922191187383134e-12 -3.2734424136240726e-12 -2.9899515597659325e-12 -2.30693781128076e-12
-1.968 8.811023268911537e-13 -3.244949180410695e-12 -2.412314417716749e-12 -1.7959224807536891e-12 -3.0729823534326172e-12 -1.9036666572507956e-12 -2.7290406403774284e-12 -3.446167856698537e-12 -3.147913731133188e-12 -2.4286912663926895e-12
-1.9664 9.251477586186732e-13 -3.407542774630859e-12 -2.5333951682164587e-12 -1.8860840192056736e-12 -3.2271643174914342e-12 -1.9990415060777705e-12 -2.8659010556607785e-12 -3.6189371997982135e-12 -3.305935532480505e-12 -2.5504782890616977e-12
-1.9648 9.691922680017072e-13 -3.5701693341081055e-12 -2.6545202072508063e-12 -1.9762803590304337e-12 -3.3813970288251938e-12 -2.0944345945203923e-12 -3.002800364588344e-12 -3.7917504429230794e-12 -3.4640169638078633e-12 -2.672298879287773e-12
-1.9632 1.013235855040267e-12 -3.732828858842481e-12 -2.775689534819824e-12 -2.0665115002279972e-12 -3.5356804874339488e-12 -2.189845922578688e-12 -3.139738567160168e-12 -3.964607586073186e-12 -3.622158025115305e-12 -2.7941530370709525e-12
-1.9616 1.0572785197343472e-12 -3.8955213488339665e-12 -2.896903150923495e-12 -2.1567774427983472e-12 -3.690014693317671e-12 -2.285275490252647e-12 -3.2767156633762247e-12 -4.1375086292485065e-12 -3.780358716402807e-12 -2.9160407624112124e-12
-1.96 1.1013202620839475e-12 -4.058246804082558e-12 -3.0181610555618222e-12 -2.2470781867414963e-12 -3.844399646476361e-12 -2.3807232975422617e-12 -3.413731653236519e-12 -4.310453572449039e-12 -3.938619037670373e-12 -3.037962055308555e-12
-1.9584 1.145361082089068e-12 -4.221005224588258e-12 -3.1394632487348033e-12 -2.3374137320574294e-12 -3.9988353469100245e-12 -2.47618934444754e-12 -3.550786536741048e-12 -4.483442415674788e-12 -4.096938988918002e-12 -3.1599169157629827e-12
-1.9568 1.1894009797497019e-12 -4.383796610351038e-12 -3.260809730442422e-12 -2.427784078746141e-12 -4.153321794618634e-12 -2.5716736309684625e-12 -3.687880313889792e-12 -4.656475158925726e-12 -4.255318570145669e-12 -3.281905343774477e-12
-1.9552 1.233439955065863e-12 -4.546620961370953e-12 -3.3822005006847106e-12 -2.5181892268076547e-12 -4.307858989602237e-12 -2.6671761571050603e-12 -3.825012984682797e-12 -4.829551802201904e-12 -4.413757781353423e-12 -3.403927339343071e-12
-1.9536 1.2774780080375435e-12 -4.709478277647975e-12 -3.503635559461653e-12 -2.6086291762419587e-12 -4.462446931860806e-12 -2.762696922857317e-12 -3.962184549120034e-12 -5.00267234550329e-12 -4.57225662254124e-12 -3.525982902468748e-12
-1.952 1.3215151386647444e-12 -4.872368559182103e-12 -3.625114906773252e-12 -2.6991039270490527e-12 -4.617085621394345e-12 -2.8582359282252372e-12 -4.099395007201508e-12 -5.175836788829896e-12 -4.730815093709117e-12 -3.648072033151506e-12
-1.9504 1.3655513469474654e-12 -5.035291805973338e-12 -3.746638542619501e-12 -2.789613479228936e-12 -4.771775058202856e-12 -2.953793173208815e-12 -4.2366443589272156e-12 -5.349045132181714e-12 -4.889433194857057e-12 -3.7701947313913496e-12
-1.9488 1.4095866328857005e-12 -5.198248018021656e-12 -3.86820646700039e-12 -2.8801578327816015e-12 -4.926515242286312e-12 -3.0493686578080405e-12 -4.373932604297144e-12 -5.522297375558725e-12 -5.048110925985041e-12 -3.892350997188261e-12
-1.9472 1.453620996479462e-12 -5.361237195327103e-12 -3.9898186799159514e-12 -2.970736987707068e-12 -5.0813061736447596e-12 -3.1449623820229384e-12 -4.511259743311324e-12 -5.69559351896097e-12 -5.206848287093107e-12 -4.0145408305422685e-12
-1.9456 1.4976544377287434e-12 -5.524259337889659e-12 -4.111475181366168e-12 -3.061350944005321e-12 -5.236147852278181e-12 -3.2405743458535018e-12 -4.648625775969739e-12 -5.86893356238843e-12 -5.365645278181232e-12 -4.136764231453362e-12
-1.944 1.541686956633545e-12 -5.6873144457093205e-12 -4.233175971351036e-12 -3.1519997016763677e-12 -5.391040278186571e-12 -3.3362045492997198e-12 -4.7860307022723935e-12 -6.042317505841106e-12 -5.524501899249426e-12 -4.259021199921539e-12
