x cod0 cod1 cod2 cod3 cod4 cod5 cod6 cod7 cod8 cod9 cod10 cod11 cod12 cod13 cod14 cod15 cod16 cod17 cod18 cod19 cod20 cod21 cod22 cod23 cod24 cod25 cod26 cod27 cod28 cod29 cod30 cod31 cod32 cod33 cod34 cod35 cod36 cod37 cod38 cod39 cod40 cod41 cod42 cod43 cod44 cod45 cod46 cod47 cod48 cod49 cod50 cod51 cod52 cod53 cod54 cod55 cod56 cod57 cod58 cod59 cod60 cod61 cod62 cod63 cod64 cod65 cod66 cod67 cod68 cod69 cod70 cod71 cod72 cod73 cod74 cod75 cod76 cod77 cod78 cod79 cod80 cod81 cod82 cod83 cod84 cod85 cod86 cod87 cod88 cod89 cod90 cod91 cod92 cod93 cod94 cod95 cod96 cod97 cod98 cod99
-1.9975 2.3424096033833154e-15 2.1959201319217413e-15 2.3244691992482438e-15 2.6110761775358085e-15 2.927861486984434e-15 2.82254970359824e-15 3.4631127867226934e-15 3.591550517963339e-15 3.900092497155436e-15 4.075483727443926e-15 4.386930233863606e-15 4.698099175139047e-15 5.075140422300246e-15 5.8674061417871134e-15 6.08138992448062e-15 6.4624667106090646e-15 6.923384324417809e-15 7.2011778218486e-15 8.224724198530811e-15 8.471593644102616e-15 9.4060285706342e-15 1.0380196060526752e-14 1.0854765676067021e-14 1.1394271358029236e-14 1.2657181330637896e-14 1.3247098520502035e-14 1.3597143268760581e-14 1.516278374056739e-14 1.5968082531269132e-14 1.710602914139908e-14 1.8801033434663955e-14 1.9200252087073414e-14 2.048025743816825e-14 2.219920217968099e-14 2.3053314775922968e-14 2.580673246010035e-14 2.7368935121678337e-14 2.930123602189729e-14 3.1373647295932096e-14 3.269045372196553e-14 3.488332793947124e-14 3.5840521567378036e-14 3.8123432716158115e-14 4.217894830228828e-14 4.4550536635329396e-14 4.717990432173772e-14 5.1734703686503044e-14 5.449984879046914e-14 5.988685352199756e-14 6.169288416883636e-14 6.731326357953137e-14 6.994712370795644e-14 7.54760192889199e-14 8.001327346342845e-14 8.435912370314214e-14 8.79787828789364e-14 9.355625496441843e-14 1.051547319553289e-13 1.159862136300698e-13 1.2400766432526029e-13 1.2374706733938715e-13 1.320588213376252e-13 1.3666250541671335e-13 1.5139220626546416e-13 1.6427846222209882e-13 1.74315651634833e-13 1.8251445932467935e-13 1.9414811594968254e-13 1.9990991132702599e-13 2.1840579776904562e-13 2.304626728283077e-13 2.4341630899008887e-13 2.556466923282487e-13 2.706843606300285e-13 2.826517594736868e-13 3.126656391905202e-13 3.267320341616302e-13 3.3688947629005843e-13 3.62069135296343e-13 3.83627203336956e-13 4.247342753297424e-13 4.4240797907698863e-13 4.75580723360705e-13 5.075838404326048e-13 5.500949977389987e-13 5.912845236955169e-13 6.344214054915405e-13 6.733352412486223e-13 7.066400932300186e-13 7.587902607493622e-13 7.916546140457515e-13 8.489115652831587e-13 9.086376708718995e-13 9.66488156521593e-13 1.021468989335878e-12 1.1060179040534546e-12 1.2060779145109476e-12 1.278850738325466e-12 1.310880435726627e-12 1.3968997388233188e-12
-1.995 4.6794054927472295e-15 4.385845396076608e-15 4.642626126114465e-15 5.215443617662569e-15 5.848132175712354e-15 5.6363588814978845e-15 6.917780235292814e-15 7.173527632782041e-15 7.790110127525531e-15 8.139237295238457e-15 8.760243924726918e-15 9.383888509334137e-15 1.0136916470245023e-14 1.171944615159496e-14 1.2146541256429349e-14 1.2907101484576804e-14 1.3828656929918997e-14 1.4381987812142134e-14 1.6427624576839852e-14 1.692023290380387e-14 1.8788210566456143e-14 2.0732127695729374e-14 2.167906557344785e-14 2.275885699639461e-14 2.5283047388627066e-14 2.645953314034376e-14 2.7156786215747976e-14 3.028636233758104e-14 3.189254327565301e-14 3.4164713286390953e-14 3.755211108031312e-14 3.834780156687e-14 4.090523653526901e-14 4.433928916136258e-14 4.6047846346834334e-14 5.15456899169412e-14 5.466293933435621e-14 5.852941287250126e-14 6.266740602012876e-14 6.529199687017412e-14 6.967244443068352e-14 7.157858333210544e-14 7.614374254353301e-14 8.424458583633872e-14 8.897603005584496e-14 9.423723835492181e-14 1.0332804458485122e-13 1.0885184782925371e-13 1.1962854732971085e-13 1.232195484150893e-13 1.3444551306948753e-13 1.3971345192541226e-13 1.5073430535896219e-13 1.5980727907633437e-13 1.685002845940353e-13 1.7570939919384017e-13 1.8686220703002176e-13 2.1003862858724724e-13 2.3168237536593643e-13 2.476644228668142e-13 2.471446407820555e-13 2.6376699269090133e-13 2.729372728051157e-13 3.023442173347263e-13 3.2812574448534004e-13 3.4817129925707813e-13 3.6450650542966194e-13 3.877520090986868e-13 3.992472844214879e-13 4.361973289221263e-13 4.602681314049544e-13 4.861417252046999e-13 5.106141169390598e-13 5.406015702399139e-13 5.644925654120566e-13 6.244818577621337e-13 6.525321282285494e-13 6.728257348883551e-13 7.23161134923831e-13 7.661254622835704e-13 8.482727488761483e-13 8.836015173156554e-13 9.497703157456542e-13 1.0136888498278156e-12 1.0985826876211528e-12 1.1808365980415365e-12 1.2670806288367376e-12 1.3446965204116783e-12 1.4112477808151785e-12 1.515345603646265e-12 1.5809000721680198e-12 1.6953747081838214e-12 1.814633052583955e-12 1.930127190878962e-12 2.0398900978859664e-12 2.2089348885125078e-12 2.408860057357689e-12 2.554754713988005e-12 2.617987254314007e-12 2.7897759224647317e-12
-1.9925 7.0109876680922854e-15 6.569775792465107e-15 6.95447078059922e-15 7.813102320380916e-15 8.760812066184453e-15 8.441427533699581e-15 1.0364002345711178e-14 1.074593134445691e-14 1.1670052891111162e-14 1.2191260703384491e-14 1.3119941072590914e-14 1.4057368002586293e-14 1.5185328143835516e-14 1.755612002942482e-14 1.819545399584766e-14 1.9333904321904685e-14 2.071581781650514e-14 2.1542429970882314e-14 2.4608701134928993e-14 2.534591777910573e-14 2.8146545987467937e-14 3.1055794905610296e-14 3.2472899692145064e-14 3.409375691509861e-14 3.787759817397036e-14 3.963730385952813e-14 4.067892884096518e-14 4.5370735791044573e-14 4.77733822331554e-14 5.117605243497943e-14 5.6253232936951906e-14 5.744264843939435e-14 6.127493729130719e-14 6.642026094504989e-14 6.898359471273947e-14 7.72168723705285e-14 8.188201263804006e-14 8.76845305518187e-14 9.388127617259729e-14 9.780462944463319e-14 1.0436734947364451e-13 1.0721418529419044e-13 1.1406092948213389e-13 1.2619691260216086e-13 1.332764802615566e-13 1.4117200209956306e-13 1.5478002269505616e-13 1.6305599711636635e-13 1.7922508142315325e-13 1.8457999273877282e-13 2.0139674846988436e-13 2.0929898465238358e-13 2.257748582101441e-13 2.393820168387357e-13 2.5242348267269904e-13 2.631918489447322e-13 2.7991785619683184e-13 3.1465168989577945e-13 3.4708848520762577e-13 3.7097027562468927e-13 3.7019272032803257e-13 3.951245140598586e-13 4.0882430216523757e-13 4.528560332078226e-13 4.915418467897622e-13 5.215669428667767e-13 5.459761383149893e-13 5.808116794470548e-13 5.980121192834308e-13 6.533745934592918e-13 6.894163757299934e-13 7.281762486438879e-13 7.649022738324923e-13 8.097516288297218e-13 8.455224178151742e-13 9.354486557149127e-13 9.774002822008314e-13 1.0078087757949705e-12 1.0832759988825474e-12 1.1474947768399303e-12 1.2706154206393157e-12 1.3235806147161011e-12 1.4225687771549587e-12 1.5183150281857459e-12 1.6454630696465898e-12 1.7686562230381892e-12 1.897977670035737e-12 2.014083837489318e-12 2.1138230627556317e-12 2.269666028690886e-12 2.3677363743669884e-12 2.5393894287021767e-12 2.717986145136387e-12 2.89091710307233e-12 3.055263325650497e-12 3.308750953377409e-12 3.6083464285405095e-12 3.827711926987903e-12 3.9213204557624366e-12 4.178628550924558e-12
-1.99 9.337156129418064e-15 8.747711321086862e-15 9.260003162702081e-15 1.0404052285690391e-14 1.1665901158400211e-14 1.1237755660202832e-14 1.3801779117977153e-14 1.4308761652987358e-14 1.5539920787911698e-14 1.623155395188134e-14 1.7466021677454835e-14 1.8718537654894716e-14 2.0220375443070846e-14 2.3377427775275733e-14 2.4228128142734417e-14 2.5742875222591565e-14 2.7584866984175e-14 2.8682504298067825e-14 3.27679538727968e-14 3.3748648270006696e-14 3.7481034833668014e-14 4.1351197690167654e-14 4.323626803215667e-14 4.5398971114139297e-14 5.044083368666565e-14 5.278041067805288e-14 5.41635711444099e-14 6.041590410095513e-14 6.361059940377341e-14 6.814004658716161e-14 7.490439900457687e-14 7.64847927046429e-14 8.158935970627908e-14 8.844211753073897e-14 9.186055987363423e-14 1.0282027982085756e-13 1.0902615503272496e-13 1.167665890598444e-13 1.250152577533322e-13 1.302283514453373e-13 1.3896804306834837e-13 1.427473274536269e-13 1.5187499353195412e-13 1.6803592859974718e-13 1.7745188725245673e-13 1.8798419555565323e-13 2.060906380171088e-13 2.171122966517976e-13 2.3867645580231457e-13 2.4577421713987616e-13 2.6816696978070953e-13 2.787037218888579e-13 3.005976778424526e-13 3.187374867506185e-13 3.361287179391185e-13 3.504261321315964e-13 3.727232024648323e-13 4.18993915880907e-13 4.62204543155118e-13 4.939252225988643e-13 4.928913059772962e-13 5.261313854444742e-13 5.443235934970546e-13 6.029276538847251e-13 6.545267691353367e-13 6.945025824638956e-13 7.269233579806298e-13 7.733271269947542e-13 7.962044159128201e-13 8.699375913805037e-13 9.17907405803384e-13 9.695198793076111e-13 1.0185111630085011e-12 1.078134536399402e-12 1.1257413166829893e-12 1.2455660330488012e-12 1.301336496078419e-12 1.3418385990098457e-12 1.442413727172428e-12 1.5277351470059662e-12 1.691762290619169e-12 1.7623452712782452e-12 1.893976107588532e-12 2.0214623755063096e-12 2.190736143815211e-12 2.3547433986853766e-12 2.527112529088428e-12 2.681497192481422e-12 2.814365939051256e-12 3.0217515358830935e-12 3.152163520642516e-12 3.3809557268380726e-12 3.61869694852902e-12 3.848857893101523e-12 4.0675886726292875e-12 4.4054660986479725e-12 4.8045370280591845e-12 5.097722377324941e-12 5.22088004007169e-12 5.563457624202556e-12
-1.9875 1.1657910876724779e-14 1.0919651981942045e-14 1.1559223272423259e-14 1.2988293513591204e-14 1.4563399452359863e-14 1.4025343261007898e-14 1.7231110552091024e-14 1.7862018558373677e-14 1.939971381792743e-14 2.0260117040729338e-14 2.1798485739319084e-14 2.336739746625981e-14 2.5242058367951462e-14 2.918336938914817e-14 3.024456369709023e-14 3.213401418663804e-14 3.443580443292924e-14 3.5802210793699313e-14 4.090538279044399e-14 4.212842437650752e-14 4.6791677105057084e-14 5.1618336049402334e-14 5.3969170593483706e-14 5.6674499593517656e-14 6.297275392671396e-14 6.588885359591907e-14 6.761071312608322e-14 7.54218672673142e-14 7.94041947875085e-14 8.505669574293884e-14 9.350560928318977e-14 9.547423436261755e-14 1.018485037801865e-13 1.1040485891843194e-13 1.1467874182952065e-13 1.2835591226793074e-13 1.360953665184134e-13 1.4577558839658118e-13 1.5606935076233613e-13 1.62563162872289e-13 1.7347452521479797e-13 1.781780098104177e-13 1.8958593469299688e-13 2.0976163382910153e-13 2.2150225102854898e-13 2.346738187231968e-13 2.572598905510139e-13 2.7102074643555234e-13 2.9798267046719987e-13 3.0680222161840486e-13 3.347561770019693e-13 3.479276636348414e-13 3.7520276425589344e-13 3.978736888119896e-13 4.1961599039330097e-13 4.374122487544409e-13 4.652782458340314e-13 5.23065306542639e-13 5.770305492084233e-13 6.165292637893499e-13 6.152403977298579e-13 6.567876068447591e-13 6.794351468005786e-13 7.525590793654473e-13 8.170805115220766e-13 8.669782180484521e-13 9.073481644265995e-13 9.652983517418004e-13 9.938241743096728e-13 1.08588632268578e-12 1.1457412216251461e-12 1.2101726171958922e-12 1.2714407844671069e-12 1.3457502929489797e-12 1.4051492620155273e-12 1.5548339897638274e-12 1.6243407698613428e-12 1.6749152045330079e-12 1.8005743197935036e-12 1.9068465727817162e-12 2.111713358815743e-12 2.1998954870021303e-12 2.363992307046417e-12 2.523130891789549e-12 2.734401910127066e-12 2.9390981249831458e-12 3.1544852059948633e-12 3.3469365853880495e-12 3.5128764097021167e-12 3.771602125222951e-12 3.93418151099467e-12 4.220073602591587e-12 4.51676546276194e-12 4.803949560966626e-12 5.076866138822432e-12 5.499080324324287e-12 5.99743185591383e-12 6.3647860649992294e-12 6.516666007241872e-12 6.944263142298845e-12
-1.985 1.3973251910012419e-14 1.3085597775030687e-14 1.385213110976276e-14 1.556582600408336e-14 1.7453306948063438e-14 1.680419033611476e-14 2.0651996648052837e-14 2.140570206061587e-14 2.3249431981158382e-14 2.4276949969928488e-14 2.6117333258183664e-14 2.8003947436681574e-14 3.0250376918477346e-14 3.4973944871042173e-14 3.624476065891502e-14 3.8507321214044085e-14 4.126863016276781e-14 4.290154945777681e-14 4.9020987887870586e-14 5.04852460986082e-14 5.6078472801635274e-14 6.185720998331435e-14 6.467160737612608e-14 6.792034235323377e-14 7.547335889411529e-14 7.896263261312674e-14 8.102035478598533e-14 9.038862529012158e-14 9.515416838436062e-14 1.0192599990231137e-13 1.1205686377279053e-13 1.1441097341331822e-13 1.2205236951302948e-13 1.3230848510812853e-13 1.3743814058039887e-13 1.5382376971174794e-13 1.6308964709510536e-13 1.7471152856202868e-13 1.8704355519960912e-13 1.948090637254885e-13 2.078867959129935e-13 2.1350623236456308e-13 2.2719375296526201e-13 2.5137402829022374e-13 2.6542757158983365e-13 2.812408716021935e-13 3.0828778029677125e-13 3.247813464676303e-13 3.571437254178095e-13 3.676640061743589e-13 4.011643701336634e-13 4.169708098903341e-13 4.4959011745046773e-13 4.767906230228491e-13 5.028853000352464e-13 5.241501988132655e-13 5.575829863044288e-13 6.268658618809753e-13 6.915665033675416e-13 7.387823991961461e-13 7.372399955857177e-13 7.870931782607143e-13 8.141589620758104e-13 9.017503096499899e-13 9.792030739499835e-13 1.0389938496204455e-12 1.0872505576528979e-12 1.1567253536881952e-12 1.1908713944739888e-12 1.301220787375122e-12 1.3729178231952798e-12 1.4501344623087286e-12 1.5236911382083118e-12 1.6125988984784515e-12 1.6837462538127875e-12 1.863252525859992e-12 1.9464131035495994e-12 2.0070385923644576e-12 2.157757776745777e-12 2.2848290541671763e-12 2.5304686252290412e-12 2.636231261887755e-12 2.832617375528614e-12 3.023320577035466e-12 3.2764603685821566e-12 3.5217204019315005e-12 3.780095700755047e-12 4.0104020162092006e-12 4.209354474708208e-12 4.5192177967104555e-12 4.71379034542346e-12 5.056743055962719e-12 5.41219168783515e-12 5.756192106667642e-12 6.083095724229923e-12 6.589593630406355e-12 7.1870309121044425e-12 7.628902990010764e-12 7.80867835727299e-12 8.321045105213421e-12
-1.9825 1.6283179229281204e-14 1.5245548700352944e-14 1.6138726674720785e-14 1.813664975716709e-14 2.0335623645511182e-14 1.9574296885523688e-14 2.406443740586287e-14 2.493981215971424e-14 2.7089075277604883e-14 2.828205273947917e-14 3.042256423404895e-14 3.262818756616042e-14 3.5245331094648935e-14 4.0749154220958233e-14 4.222871902820937e-14 4.486279630481028e-14 4.8083344173691337e-14 4.998052029030094e-14 5.711476916507729e-14 5.881911343630947e-14 6.534142192340328e-14 7.206781949190462e-14 7.534357838008477e-14 7.91364993932885e-14 8.794264858887079e-14 9.200174772967711e-14 9.439249612411725e-14 1.0531617816937882e-13 1.1086052019433129e-13 1.1874795906528044e-13 1.3055816247338093e-13 1.332950098567466e-13 1.4220095690480977e-13 1.5415299609983089e-13 1.6013875612627061e-13 1.7922385215231155e-13 1.9000899676280304e-13 2.035744095561897e-13 2.1793787106515407e-13 2.269660540049386e-13 2.422048551629377e-13 2.4873199511606594e-13 2.64698448348753e-13 2.9287311198311766e-13 3.092278489363144e-13 3.2768535419264716e-13 3.591743072543853e-13 3.783940967480361e-13 4.1615962065414826e-13 4.283595708077435e-13 4.673915491757982e-13 4.858331606553421e-13 5.237597374261815e-13 5.55488289383204e-13 5.85936646864962e-13 6.106399823080784e-13 6.49637423876033e-13 7.303955818959255e-13 8.058124056324827e-13 8.606846288192638e-13 8.588900995448859e-13 9.170480996923497e-13 9.48495039322762e-13 1.0505013447383649e-12 1.1408944564190715e-12 1.2105494771798911e-12 1.266630537659541e-12 1.3476081328339542e-12 1.3873460764057859e-12 1.5159409854485493e-12 1.5994372105138056e-12 1.6894054146461425e-12 1.7752622242321376e-12 1.8786803529878463e-12 1.9615322920747944e-12 2.1708216413373203e-12 2.2675534971432202e-12 2.338208762504226e-12 2.5139640980292776e-12 2.6616825911623812e-12 2.9480280898590977e-12 3.0713525959351595e-12 3.299851313035164e-12 3.5220314312440998e-12 3.816911519180526e-12 4.102610229530489e-12 4.403944013369033e-12 4.671893484944936e-12 4.9038001340696e-12 5.264598550345679e-12 5.490990023928942e-12 5.8909640869515434e-12 6.3049756237487285e-12 6.70558553020465e-12 7.0862774288518575e-12 7.677006016894279e-12 8.37333419663113e-12 8.890073152359671e-12 9.096917090165148e-12 9.693803512946413e-12
-1.98 1.858769283453071e-14 1.7399504757908456e-14 1.841900996729691e-14 2.0700764772841946e-14 2.3210349544702573e-14 2.233566290923416e-14 2.746843282552053e-14 2.846434885566819e-14 3.091864370726627e-14 3.2275425349380625e-14 3.4714178666914164e-14 3.724011785469554e-14 4.022692089646537e-14 4.650899743889531e-14 4.8196438804972206e-14 5.120043945893547e-14 5.487994646569863e-14 5.703912329127042e-14 6.518672662206263e-14 6.713002638960986e-14 7.458052447035954e-14 8.225016457517136e-14 8.59850836053579e-14 9.032297071367988e-14 1.0038062301097826e-13 1.0500619894556786e-13 1.0772713714047668e-13 1.2020452590508316e-13 1.265232502174176e-13 1.3552257323184314e-13 1.490095053849576e-13 1.5212634369289923e-13 1.6229426595552388e-13 1.7593839189353505e-13 1.827805884671322e-13 2.0455615958961699e-13 2.1685341552150194e-13 2.3236423137905896e-13 2.4875229835896544e-13 2.5903413371063343e-13 2.7642870296462473e-13 2.8385529806492004e-13 3.021000208434633e-13 3.3425888490777585e-13 3.5290308306798345e-13 3.740072664945501e-13 4.0991947142384753e-13 4.318589972767608e-13 4.750303561762057e-13 4.888889155185482e-13 5.334377141283613e-13 5.545147159298534e-13 5.977116241830213e-13 6.339666878930403e-13 6.687700308824329e-13 6.968815992388634e-13 7.414415585488275e-13 8.336544665874715e-13 9.19768256003227e-13 9.822359526586808e-13 9.801907096073416e-13 1.046652371139644e-12 1.0824433785414087e-12 1.1988121846305469e-12 1.30215465892931e-12 1.3816451007267586e-12 1.4454881044464975e-12 1.5379466891790444e-12 1.5832482201050288e-12 1.7300469169060217e-12 1.825299383580683e-12 1.927985474208093e-12 2.026154042538539e-12 2.143994656477113e-12 2.2385073768015004e-12 2.477541336195759e-12 2.587761950642147e-12 2.668425714952252e-12 2.869193283643942e-12 3.0374071837672668e-12 3.364391752705841e-12 3.5052594891442655e-12 3.765694119565985e-12 4.01926345441537e-12 4.355755361922084e-12 4.681767607780012e-12 5.026030143836708e-12 5.3314109915951345e-12 5.596213387786162e-12 6.007744386128485e-12 6.265780546510989e-12 6.72273669555791e-12 7.195117270502515e-12 7.652129831577485e-12 8.086411252688053e-12 8.761317483787855e-12 9.55634170949368e-12 1.014829655204571e-11 1.0381382205918135e-11 1.1062538365497571e-11
-1.9775 2.088679272576115e-14 1.954746594769741e-14 2.069298098749137e-14 2.325817105110813e-14 2.6077484645637887e-14 2.508828840724645e-14 3.08639829070261e-14 3.1979312148477996e-14 3.473813727014285e-14 3.625706779963326e-14 3.8992176556779705e-14 4.1839738302287326e-14 4.519514632392708e-14 5.225347452485394e-14 5.4147919989204026e-14 5.752025067642027e-14 6.165843703879027e-14 6.407735846068587e-14 7.323686025882739e-14 7.541798495851007e-14 8.379578044250487e-14 9.24042452331154e-14 9.659612305194649e-14 1.0147975631440896e-13 1.1278728216043872e-13 1.1797598626080006e-13 1.2102427783506478e-13 1.350536684972359e-13 1.421423584536209e-13 1.5224984240200104e-13 1.6741089250752211e-13 1.7090497492177797e-13 1.8233229666517345e-13 1.9766467248924298e-13 2.0536363760298543e-13 2.298206920236665e-13 2.4362290337120436e-13 2.6108099403063935e-13 2.7948683708104584e-13 2.910133028425761e-13 3.1055833931805755e-13 3.188761412111288e-13 3.3939847044939624e-13 3.7553134706420225e-13 3.9645327398484513e-13 4.2020660850790615e-13 4.605232728051617e-13 4.851760480538087e-13 5.337559319839876e-13 5.492520403067781e-13 5.993028649913591e-13 6.230154757138733e-13 6.714457777209944e-13 7.122258185523653e-13 7.513854520876674e-13 7.828750496056287e-13 8.329953903228208e-13 9.366425159556217e-13 1.0334340544797843e-12 1.1034363707144089e-12 1.1011418257730953e-12 1.1759059926026079e-12 1.2160039797317626e-12 1.3466828293265489e-12 1.4629836814807163e-12 1.5522807202610628e-12 1.6238232580137822e-12 1.7277410227234815e-12 1.7785778255717351e-12 1.94353858174756e-12 2.050504342395933e-12 2.1658746409945984e-12 2.276366593127539e-12 2.4085418089462766e-12 2.5146715079929294e-12 2.7834116104353357e-12 2.9070384640464073e-12 2.9976894497085675e-12 3.2234453335898034e-12 3.412002831981862e-12 3.779559613769305e-12 3.9379519415151085e-12 4.2301457951211156e-12 4.515016646549313e-12 4.8929918968068765e-12 5.259192536680118e-12 5.646354092158129e-12 5.988954536159861e-12 6.286594235857954e-12 6.7486553040589415e-12 7.038161913169665e-12 7.552060881781894e-12 8.08261662809659e-12 8.595825010786228e-12 9.083497195738598e-12 9.842528031087191e-12 1.073605345069219e-11 1.1403573189068994e-11 1.1662073704532061e-11 1.2427249662867022e-11
-1.975 2.3180478902972514e-14 2.1689432269719793e-14 2.2960639735304137e-14 2.580886859196569e-14 2.89370289483171e-14 2.7832173379560538e-14 3.4251087650379604e-14 3.5484702038143693e-14 3.8547555966234666e-14 4.0226980090237045e-14 4.3256557903645574e-14 4.64270489089358e-14 5.015000737703407e-14 5.79825854788341e-14 6.008316258090491e-14 6.382222995726462e-14 6.841881589296625e-14 7.10952257985473e-14 8.126517007537155e-14 8.368298914301018e-14 9.298718983983925e-14 1.0253006146573682e-13 1.0717669671985037e-13 1.1260685619547578e-13 1.2516262603725227e-13 1.309111096753738e-13 1.3428391820788158e-13 1.4986360594583709e-13 1.5771784490294132e-13 1.6892976657575408e-13 1.8576232384107454e-13 1.8963090354338263e-13 2.0231504903375854e-13 2.1933183788695466e-13 2.2788790353383033e-13 2.550174494544601e-13 2.7031746031191013e-13 2.8972469751093047e-13 3.1014148723139534e-13 3.2290356140076664e-13 3.4459376422323623e-13 3.5379452455469187e-13 3.7659379716655167e-13 4.1669049845239647e-13 4.3987842168689884e-13 4.662833802327152e-13 5.109857113983282e-13 5.3834524907918e-13 5.923363480774933e-13 6.094489451724335e-13 6.649870017647912e-13 6.913354400074027e-13 7.449621980401007e-13 7.902656813611781e-13 8.337829104806645e-13 8.686203334083742e-13 9.242989191980122e-13 1.0393597300003764e-12 1.146809801062154e-12 1.2242858829864477e-12 1.2217434480421469e-12 1.304808964081241e-12 1.349176842893825e-12 1.4941132788263706e-12 1.6233815240732883e-12 1.7224563357828036e-12 1.8016359983613977e-12 1.9169911334672677e-12 1.9733348928059044e-12 2.1564159799731636e-12 2.2750520869595543e-12 2.4030729150056604e-12 2.5258998759991375e-12 2.672321810395338e-12 2.790024685649081e-12 3.088432464056049e-12 3.2253830373560034e-12 3.3259999667731704e-12 3.5767202478668602e-12 3.7854695358061705e-12 4.1935316730494915e-12 4.369429953047694e-12 4.693206339700562e-12 5.009291007645936e-12 5.4286211238349005e-12 5.834885016230807e-12 6.264915858333302e-12 6.644524118639106e-12 6.974942678284986e-12 7.487331304137047e-12 7.808134123904966e-12 8.3789366456235e-12 8.967473696530951e-12 9.53667106783089e-12 1.0077535258003495e-11 1.0920637658792283e-11 1.191246942022667e-11 1.2655903063429537e-11 1.2938991586006908e-11 1.3787937405054757e-11
