x cod0 cod1 cod2 cod3 cod4 cod5 cod6 cod7 cod8 cod9 cod10 cod11 cod12 cod13 cod14 cod15 cod16 cod17 cod18 cod19 cod20 cod21 cod22 cod23 cod24 cod25 cod26 cod27 cod28 cod29 cod30 cod31 cod32 cod33 cod34 cod35 cod36 cod37 cod38 cod39 cod40 cod41 cod42 cod43 cod44 cod45 cod46 cod47 cod48 cod49 cod50 cod51 cod52 cod53 cod54 cod55 cod56 cod57 cod58 cod59 cod60 cod61 cod62 cod63 cod64 cod65 cod66 cod67 cod68 cod69 cod70 cod71 cod72 cod73 cod74 cod75 cod76 cod77 cod78 cod79 cod80 cod81 cod82 cod83 cod84 cod85 cod86 cod87 cod88 cod89 cod90 cod91 cod92 cod93 cod94 cod95 cod96 cod97 cod98 cod99
-1.9975 2.342410014581299e-15 3.4529130420996304e-15 3.746103351110292e-15 4.079592782897128e-15 4.573085997383304e-15 4.79825225753253e-15 5.29584162674409e-15 5.493433190482183e-15 6.271098558687081e-15 6.415525711318697e-15 7.112510107355973e-15 7.955754080397404e-15 8.289357701684787e-15 8.792420622415239e-15 9.461007658283226e-15 1.0172258802385251e-14 1.128515657202555e-14 1.1637395882272672e-14 1.2902683910640382e-14 1.3700797428341285e-14 1.4107374407834855e-14 1.6544146627058443e-14 1.7269072641684623e-14 1.8731934340724132e-14 1.925589342572512e-14 2.168225703822572e-14 2.3361990121420072e-14 2.4689135366997882e-14 2.5355742994311298e-14 2.6655456843291394e-14 3.059442461803936e-14 3.084677886338628e-14 3.276565084041892e-14 3.679344426660914e-14 3.843981513115321e-14 4.226507811817567e-14 4.369998313422741e-14 4.693534271226235e-14 4.8840118832501423e-14 5.458188392641544e-14 5.434156228174773e-14 5.845823283186575e-14 6.166260946099522e-14 6.773745594965826e-14 7.135097718848001e-14 7.997015192350973e-14 8.249187238896481e-14 8.942785906501691e-14 9.514154938717403e-14 1.0120677089079609e-13 1.0558795229270947e-13 1.143399190035456e-13 1.213050057247431e-13 1.2585099444411135e-13 1.3647194220313945e-13 1.460864933462527e-13 1.5640627031544108e-13 1.6659606908940822e-13 1.7057907069059152e-13 1.7879799846474717e-13 1.911314644657602e-13 2.0637161311908186e-13 2.2611222754147631e-13 2.3823054292851105e-13 2.527915675572582e-13 2.603976316808796e-13 2.877515850278865e-13 2.8679369628622133e-13 3.187674411494514e-13 3.4007074355426163e-13 3.473985875703887e-13 3.755713701177262e-13 4.024149111209308e-13 4.3432340331618924e-13 4.462509165022832e-13 4.91114940101821e-13 5.152939894577262e-13 5.362207320462471e-13 5.766279434012846e-13 6.179110025840353e-13 6.453837607279967e-13 6.945032792674347e-13 7.438066820444832e-13 7.80214359883815e-13 8.626129248561667e-13 8.967793783016902e-13 9.122987155395763e-13 9.981435278343492e-13 1.0595940786265978e-12 1.111315902740402e-12 1.2006570446577222e-12 1.2554225864044706e-12 1.3309235114518712e-12 1.4435704344318921e-12 1.5474567003183172e-12 1.6428458016878717e-12 1.7184423204526136e-12 1.8693940603242338e-12 1.917231804325724e-12 2.0638066970410594e-12
-1.995 4.679406319326693e-15 6.896730818827675e-15 7.482919688844271e-15 8.148285883810206e-15 9.133780080839928e-15 9.584576689724965e-15 1.0577584116812936e-14 1.0971384716772951e-14 1.2524900080126181e-14 1.2814210608532014e-14 1.4207293450129067e-14 1.5890104633794942e-14 1.6556957554816158e-14 1.7562954048677165e-14 1.8896070018317026e-14 2.0318779767301637e-14 2.2538308179839258e-14 2.324198429677671e-14 2.5770559395566943e-14 2.7364538363614368e-14 2.8176440232801654e-14 3.304452118833216e-14 3.44885021432213e-14 3.7414016313502813e-14 3.846132708005423e-14 4.330608100646991e-14 4.666522119067442e-14 4.93104449607695e-14 5.064379190828625e-14 5.324195768528313e-14 6.110612318176802e-14 6.160934482416701e-14 6.544588809627734e-14 7.348741979538278e-14 7.677830687641355e-14 8.442078303130049e-14 8.728751872119608e-14 9.374981707496319e-14 9.754975337514788e-14 1.0901304169318283e-13 1.0853740219493456e-13 1.1674268309815368e-13 1.2314527967829738e-13 1.3528708758486503e-13 1.42505030798888e-13 1.597313365449841e-13 1.647645870165239e-13 1.7863008338558914e-13 1.900239337622841e-13 2.0212801557705668e-13 2.1087098245883329e-13 2.283523343390981e-13 2.4226394948535944e-13 2.5133853171777586e-13 2.725550517065085e-13 2.9175556858962084e-13 3.1239490290421255e-13 3.3273961968993626e-13 3.406952541954144e-13 3.5710010103334374e-13 3.8172876461703213e-13 4.121373850686702e-13 4.5162007523497613e-13 4.757774506018195e-13 5.048655340650023e-13 5.20058660909497e-13 5.74731839535061e-13 5.727881679667911e-13 6.366608850127314e-13 6.791922506071346e-13 6.938307068105451e-13 7.499921657688352e-13 8.036806387706607e-13 8.673838807866565e-13 8.913005073754931e-13 9.809045578661599e-13 1.029107583691299e-12 1.0708960901237092e-12 1.1516008718506859e-12 1.2341364989743989e-12 1.2888367019311482e-12 1.38704845218154e-12 1.4855034818141207e-12 1.5582831908660353e-12 1.7228217990765736e-12 1.79094188376425e-12 1.8220040791565515e-12 1.9931653857516316e-12 2.1162890986431224e-12 2.2194813918225366e-12 2.397705123140633e-12 2.5070206345537756e-12 2.6579855807970214e-12 2.882793638411824e-12 3.0904257583513344e-12 3.2810438388556966e-12 3.4319757832014106e-12 3.73373825596206e-12 3.8291574777964605e-12 4.12162484044813e-12
-1.9925 7.0109889142367275e-15 1.03314533301849e-14 1.1210449013202821e-14 1.2206079302740165e-14 1.3682082250370853e-14 1.4358973296578423e-14 1.584522747020775e-14 1.6433854578873547e-14 1.876140456431873e-14 1.919605469164145e-14 2.128435002832082e-14 2.3803051660194318e-14 2.4802799559395944e-14 2.6311600278787855e-14 2.830518708010349e-14 3.043956289475143e-14 3.3759454823443744e-14 3.4813765243514794e-14 3.860362645478264e-14 4.099122280582249e-14 4.220719747490365e-14 4.9501123683825114e-14 5.1658288504613877e-14 5.60462459183404e-14 5.761630096299179e-14 6.487147190473787e-14 6.990969320776843e-14 7.386392878132049e-14 7.586414674193049e-14 7.975950252598135e-14 9.153509569119332e-14 9.228769788234925e-14 9.804071176758296e-14 1.1008192658632933e-13 1.1501547523578973e-13 1.2646711473938422e-13 1.3076260676091596e-13 1.4044342308811354e-13 1.461289036279502e-13 1.6329347330031435e-13 1.625875197395729e-13 1.7485335079887737e-13 1.844480106519208e-13 2.026488949056357e-13 2.1346216083123942e-13 2.3928355386444166e-13 2.46818143882695e-13 2.6760667296173565e-13 2.8464715312535147e-13 3.0276373405880496e-13 3.1584909049839627e-13 3.4203724600668437e-13 3.6287683128187786e-13 3.7646261182102284e-13 4.082493285101375e-13 4.3700722573013834e-13 4.679658977663503e-13 4.984306518016209e-13 5.103485505145081e-13 5.349063077058302e-13 5.717919004538588e-13 6.172973158488134e-13 6.765235430805482e-13 7.126407230199767e-13 7.562218995232887e-13 7.789830876859139e-13 8.609407635215867e-13 8.579834150417759e-13 9.536803315899125e-13 1.0173645211586948e-12 1.03929635772055e-12 1.123262386953412e-12 1.2037971829492765e-12 1.2991814324115013e-12 1.3351487726197348e-12 1.469368853293131e-12 1.541440782700829e-12 1.6040260742325082e-12 1.7249187853483324e-12 1.84867648917123e-12 1.9303588236095966e-12 2.077635518742461e-12 2.2250903993090792e-12 2.334206492946828e-12 2.5806266226614236e-12 2.682487516387888e-12 2.7291160908511354e-12 2.985065573752067e-12 3.170085060049802e-12 3.3244964672466566e-12 3.591144235448996e-12 3.754794144448198e-12 3.981186208035751e-12 4.317669611940107e-12 4.628907174099409e-12 4.914594111503838e-12 5.1406003882467784e-12 5.593032586913921e-12 5.73577702041263e-12 6.1734544302216805e-12
-1.99 9.337157799310979e-15 1.3757080576170711e-14 1.4928691324185218e-14 1.6252973039686293e-14 1.8217992505975324e-14 1.9121442078092024e-14 2.109877168692762e-14 2.1880842776783007e-14 2.4980612011263544e-14 2.5561057960645827e-14 2.8343679841930086e-14 3.16945951595942e-14 3.302688371542271e-14 3.503835931274571e-14 3.768835884364098e-14 4.05346081847328e-14 4.494859650283703e-14 4.6352738722484784e-14 5.1401885088285194e-14 5.45808507549631e-14 5.619964613413839e-14 6.591395411353421e-14 6.877843172585952e-14 7.462862315523343e-14 7.672081507453439e-14 8.637842973302546e-14 9.309540617269784e-14 9.834958682864647e-14 1.0101680749523958e-13 1.0620809136538139e-13 1.2188134214630954e-13 1.228818380379275e-13 1.3055012185432973e-13 1.4657696463944245e-13 1.531513202092748e-13 1.6840407324241947e-13 1.7412524725337971e-13 1.8701616075170485e-13 1.9457756959090023e-13 2.1742317874780095e-13 2.1649191491565316e-13 2.3279023593402633e-13 2.4557080238185455e-13 2.6982287791195813e-13 2.842223672855219e-13 3.186268038818684e-13 3.286525429874641e-13 3.5635762779344245e-13 3.790112074763604e-13 4.031139263360233e-13 4.205222764113787e-13 4.553946540062839e-13 4.83143651114276e-13 5.012232347538298e-13 5.435547726140015e-13 5.818414647677784e-13 6.231192549018252e-13 6.636691654244335e-13 6.79538959647841e-13 7.122166184821756e-13 7.613208719762075e-13 8.218514054594736e-13 9.008226310781543e-13 9.48820360182941e-13 1.006860663932072e-12 1.0371709120100835e-12 1.1463783569874156e-12 1.142379437511126e-12 1.2698257808809383e-12 1.3545875552088831e-12 1.3837955403003417e-12 1.4953820336713905e-12 1.6027645436567107e-12 1.7297160581906465e-12 1.7777957122349281e-12 1.956507826382645e-12 2.0522935864862324e-12 2.1356106843725485e-12 2.296581683894123e-12 2.4615309731744157e-12 2.569950125763235e-12 2.766264478950084e-12 2.9625674345292322e-12 3.1079842661260636e-12 3.4360273956105564e-12 3.5714162761724465e-12 3.6336347506231643e-12 3.973844091835481e-12 4.220981962846451e-12 4.42636112901256e-12 4.780974381582612e-12 4.9987431160875194e-12 5.300525393167824e-12 5.748198355016498e-12 6.162900947562256e-12 6.5434966196320145e-12 6.8443161355884065e-12 7.447277053179478e-12 7.63709043217391e-12 8.219295466361352e-12
-1.9875 1.1657912974549663e-14 1.7173612556785408e-14 1.863764662179185e-14 2.028896709464894e-14 2.274151084765368e-14 2.387198303426625e-14 2.6338216766972985e-14 2.7312349310501833e-14 3.118252242096126e-14 3.190922041554573e-14 3.538528289095745e-14 3.956473513199529e-14 4.1229210022897194e-14 4.3743231150551577e-14 4.7045585308930305e-14 5.060391563724674e-14 5.61057332180201e-14 5.785890473368782e-14 6.416533529607572e-14 6.813342221103762e-14 7.015378621050716e-14 8.228301247746098e-14 8.58489318069596e-14 9.316114802418377e-14 9.577486941468377e-14 1.078269544913349e-13 1.1622236008546482e-13 1.2276741910274958e-13 1.2610177416821583e-13 1.3258772420348567e-13 1.521448625471195e-13 1.5339176529090443e-13 1.629741183565208e-13 1.8297253395472498e-13 1.9118584179687253e-13 2.1023165854040973e-13 2.1737544019859076e-13 2.3346803006574155e-13 2.428957512640017e-13 2.714021580356469e-13 2.7025058772318016e-13 2.9055333850360557e-13 3.065136548681043e-13 3.3680903660383837e-13 3.547856501617419e-13 3.977610865972715e-13 4.102677843308382e-13 4.448829478807156e-13 4.731160968153182e-13 5.031785924087202e-13 5.248905401977901e-13 5.684245583379066e-13 6.030644089825653e-13 6.256204005162081e-13 6.78471384018114e-13 7.26258285702555e-13 7.778549743106526e-13 8.284551605583887e-13 8.482664815954303e-13 8.890310333623954e-13 9.503156791840943e-13 1.0257996539006707e-12 1.1245173392278155e-12 1.184316362090736e-12 1.2567818272913756e-12 1.2946221338820283e-12 1.4310446199325694e-12 1.4259762353748654e-12 1.5850972328858373e-12 1.6908613527577302e-12 1.7273282545499509e-12 1.866351105922804e-12 2.0005827208929957e-12 2.1589877581241316e-12 2.219241326221113e-12 2.442321477134745e-12 2.5616659950475485e-12 2.6656499205438783e-12 2.8665895674881107e-12 3.0726999509840153e-12 3.2076106083921147e-12 3.4529353328044646e-12 3.697934587474645e-12 3.87961651040381e-12 4.289024117924055e-12 4.457728163118e-12 4.535560058472718e-12 4.959500940001958e-12 5.268979807033173e-12 5.525075377120352e-12 5.967195561541575e-12 6.238867549471847e-12 6.616003136193359e-12 7.174379867641124e-12 7.692407078740022e-12 8.16775136324037e-12 8.543123025226456e-12 9.296471654758896e-12 9.533097713080456e-12 1.0259147948867308e-11
-1.985 1.3973254439952776e-14 2.0581049272028996e-14 2.2337314906022704e-14 2.4314061467628118e-14 2.7252637275406017e-14 2.861059616510104e-14 3.1563562710343884e-14 3.272837418002998e-14 3.736713579341181e-14 3.824054205634118e-14 4.240915917540288e-14 4.741347157739756e-14 4.94097784818194e-14 5.2426215792205376e-14 5.637686647597146e-14 6.064748525229316e-14 6.723086496899297e-14 6.933226327712378e-14 7.689397707815428e-14 8.164893717404582e-14 8.406961770400978e-14 9.860829877560534e-14 1.028697887479141e-13 1.1164382052519129e-13 1.1477846398343982e-13 1.2921704617966588e-13 1.3929055494606942e-13 1.4711742560362991e-13 1.5111904676085907e-13 1.5889840104029422e-13 1.823256568936233e-13 1.8381747964128012e-13 1.9531270127415596e-13 2.1926863453217737e-13 2.291190399985826e-13 2.5194987063335533e-13 2.6051318559654946e-13 2.7979903103022323e-13 2.910834486472552e-13 3.252304111638526e-13 3.238635381621541e-13 3.4814265850761514e-13 3.672765681106697e-13 4.036073709812766e-13 4.2515200945989937e-13 4.766864020106505e-13 4.916638679128171e-13 5.331826332235562e-13 5.669618211422259e-13 6.029577322768958e-13 6.289538818576313e-13 6.811269590015529e-13 7.226391048867451e-13 7.496541091081578e-13 8.129991627224738e-13 8.702576885344669e-13 9.321730559928314e-13 9.927886372034857e-13 1.0165311163572744e-12 1.06534955234649e-12 1.13877632207752e-12 1.229142061172404e-12 1.3476076675295302e-12 1.4191287287433577e-12 1.5059853896011998e-12 1.5513367533017486e-12 1.7149395523570509e-12 1.7087738086329936e-12 1.8994946876046088e-12 2.026185913805236e-12 2.069894500469377e-12 2.236169603707653e-12 2.3972517146581343e-12 2.5869965322119557e-12 2.659485614578288e-12 2.9268098055494324e-12 3.0695580083847807e-12 3.194143782746499e-12 3.434942436130292e-12 3.682183422600024e-12 3.843340271496239e-12 4.137648080305605e-12 4.431191858145316e-12 4.6491032257800635e-12 5.139616789601914e-12 5.341423177224548e-12 5.434892014399799e-12 5.942036118251503e-12 6.314078592609962e-12 6.620639211570035e-12 7.149807775325892e-12 7.47516744460118e-12 7.927619437112351e-12 8.596214149813983e-12 9.217425567632702e-12 9.787358342328901e-12 1.0237021057160923e-11 1.1140616391652179e-11 1.1423798863132273e-11 1.2293011877739574e-11
-1.9825 1.6283182195520522e-14 2.3979390721901765e-14 2.6027696176878098e-14 2.832825615862416e-14 3.175137178923265e-14 3.3337281470596844e-14 3.677480951704074e-14 3.812891738536798e-14 4.353445212861578e-14 4.455502288303269e-14 4.941530869526705e-14 5.524080449580171e-14 5.756858909219003e-14 6.108731323770793e-14 6.568220234476533e-14 7.066531702987302e-14 7.832399175575659e-14 8.077281435279378e-14 8.958781043452201e-14 9.512739564398908e-14 9.794714061464766e-14 1.1488981300796891e-13 1.1984100254872466e-13 1.3007664065825769e-13 1.337315987808044e-13 1.505487047980204e-13 1.6229999075451364e-13 1.713996063312894e-13 1.7606862527317162e-13 1.8514012187580923e-13 2.1242372518582347e-13 2.1415898108905732e-13 2.275658706072382e-13 2.5546526637180254e-13 2.6695091481440835e-13 2.935587095212595e-13 3.0353848344725936e-13 3.2600916364515453e-13 3.391406617406643e-13 3.7890793813242266e-13 3.773307662325794e-13 4.055581959460602e-13 4.2785954210955665e-13 4.702178810442787e-13 4.953214451800008e-13 5.554027501220127e-13 5.728407937334085e-13 6.212566838219715e-13 6.60548380457091e-13 7.024513459405595e-13 7.327123013909109e-13 7.935018559972329e-13 8.418677388268264e-13 8.733243605296898e-13 9.47138108727094e-13 1.0138396732635284e-12 1.0860734999483764e-12 1.1566695953597402e-12 1.1843328639333886e-12 1.2411721754344743e-12 1.3267028006564999e-12 1.4318786272746913e-12 1.570093615983319e-12 1.6532574601408315e-12 1.7544713508615666e-12 1.8073147702692673e-12 1.9980631542608843e-12 1.990772157285537e-12 2.2130181450372814e-12 2.3605612383514303e-12 2.411494278058651e-12 2.6048375270259683e-12 2.792771524952159e-12 3.013742380454158e-12 3.0985285773064947e-12 3.409972811626749e-12 3.5759696264979744e-12 3.721092270980455e-12 4.0016402898207195e-12 4.289981388022501e-12 4.477139115075663e-12 4.820402721453567e-12 5.16233924654131e-12 5.4164444122548924e-12 5.987805410644209e-12 6.2225013184921745e-12 6.331630618404489e-12 6.9214496265842e-12 7.356278319576904e-12 7.713052632361698e-12 8.328811022935667e-12 8.707642801475625e-12 9.235374295924928e-12 1.0013701201535199e-11 1.0737956414240434e-11 1.140231755689776e-11 1.192601023139195e-11 1.2979711263859479e-11 1.3309193882329526e-11 1.4320887252978311e-11
-1.98 1.8587696241252494e-14 2.7368636906403115e-14 2.970879043435739e-14 3.233155116763637e-14 3.62377143891328e-14 3.805203895075283e-14 4.1971957187062603e-14 4.3513978926514854e-14 4.968447142657206e-14 5.085266289561913e-14 5.6403731450548675e-14 6.304673388720635e-14 6.570564185400766e-14 6.972652348705769e-14 7.496159291531024e-14 8.065741096998446e-14 8.938511357830905e-14 9.218055796069575e-14 1.022468353651765e-13 1.0856879762086489e-13 1.117863549424183e-13 1.311275551745486e-13 1.3676257320938815e-13 1.484596084233796e-13 1.5263427380677401e-13 1.7182193034639487e-13 1.8525066751079342e-13 1.9561396128572403e-13 2.0095050970514908e-13 2.11312886710026e-13 2.4243906742371473e-13 2.444162696342304e-13 2.5973362635576176e-13 2.9156242947359395e-13 3.046814662443432e-13 3.3505817520411534e-13 3.464513337507128e-13 3.720984279105267e-13 3.8706739054422104e-13 4.3243473894134764e-13 4.3065227193444663e-13 4.627999508189306e-13 4.882625768647539e-13 5.366405667928323e-13 5.65293957322033e-13 6.339101309313443e-13 6.537985617925975e-13 7.091050996759462e-13 7.53875774759897e-13 8.016594333996932e-13 8.361657987976102e-13 9.055492493249255e-13 9.607503108027883e-13 9.966311547807817e-13 1.08088822203195e-12 1.1570042398897127e-12 1.2395563061772587e-12 1.3200980350271222e-12 1.3516717243237445e-12 1.416498902626317e-12 1.5140951149210031e-12 1.634009352207497e-12 1.7919751845891422e-12 1.8867025562831115e-12 2.0022397110724313e-12 2.0625561847845388e-12 2.280415425644019e-12 2.271971281332446e-12 2.525667605183798e-12 2.693987326396252e-12 2.752127587317711e-12 2.9723548758776862e-12 3.1871421517750005e-12 3.439225302850661e-12 3.536370214405655e-12 3.8918104953666104e-12 4.0809008493870335e-12 4.246495385245654e-12 4.566683128559292e-12 4.896093847251336e-12 5.109007139130273e-12 5.501199256248226e-12 5.8913767526625005e-12 6.181640069828162e-12 6.833589981050793e-12 7.100962586920719e-12 7.2257758704866255e-12 7.897741464999875e-12 8.395578987933826e-12 8.802315639495147e-12 9.50420530437069e-12 9.936293620094974e-12 1.0539267712630845e-11 1.142684102280452e-11 1.225399961856295e-11 1.3012629006946651e-11 1.3610090547919254e-11 1.481375627138048e-11 1.5189282770671886e-11 1.6342774074583164e-11
-1.9775 2.088679657714889e-14 3.074878782553336e-14 3.3380597678460906e-14 3.632394649466511e-14 4.071166507510688e-14 4.275486860556941e-14 4.715500572041002e-14 4.8883558803471056e-14 5.581719368728121e-14 5.713346209410119e-14 6.337442744124843e-14 7.083125975161219e-14 7.3820936767273e-14 7.834384654025544e-14 8.421503818760697e-14 9.062376707262842e-14 1.0041423043665122e-13 1.0355549410083074e-13 1.148710518701191e-13 1.2197314310467448e-13 1.255872606873229e-13 1.4732152527534597e-13 1.5363450072990606e-13 1.6679272382055873e-13 1.7148648906135046e-13 1.9303672282479088e-13 2.0814258521491074e-13 2.1976049046693577e-13 2.2576470005679364e-13 2.3741669554294707e-13 2.7237168360729985e-13 2.745893452768023e-13 2.9181596851972947e-13 3.2756012383755526e-13 3.423106942883907e-13 3.764482676819263e-13 3.89251736506914e-13 4.1806682382634414e-13 4.348636350579294e-13 4.858108135906321e-13 4.838280552677605e-13 5.198679231262314e-13 5.484856723762669e-13 6.02875428226944e-13 6.350695458860028e-13 7.122085444386522e-13 7.345371720903922e-13 7.967278807854882e-13 8.469440040506524e-13 9.005819946543054e-13 9.393143740777387e-13 1.0172691389846416e-12 1.0792868208146405e-12 1.1195744918614445e-12 1.2142495026370533e-12 1.2997513884130325e-12 1.3926214746794942e-12 1.483073956205647e-12 1.5185476975283537e-12 1.5913297339220352e-12 1.7009532648710436e-12 1.8355342359708383e-12 2.0132523733470184e-12 2.1194640171702208e-12 2.2492904702338163e-12 2.3170609968475864e-12 2.56199636650648e-12 2.5523711807737443e-12 2.8374430680441888e-12 3.0264641779397324e-12 3.0917944282465896e-12 3.338721650262838e-12 3.580363595126697e-12 3.863445299401502e-12 3.973010525875802e-12 4.372322856769059e-12 4.584351677052012e-12 4.7703531255421445e-12 5.1300709523460594e-12 5.5005208002865815e-12 5.738944343660126e-12 6.180037684689645e-12 6.618304376508947e-12 6.9446901984999375e-12 7.676970500821737e-12 7.97680698251026e-12 8.117327770646283e-12 8.870911633498618e-12 9.431980597680808e-12 9.888428232970487e-12 1.0675990619631068e-11 1.1161119900459331e-11 1.1839299687230226e-11 1.2835633613622072e-11 1.3765555180600373e-11 1.4618292692475723e-11 1.528926200674297e-11 1.664275141421535e-11 1.7064065528159504e-11 1.8358672342554314e-11
-1.975 2.318048320320971e-14 3.411984347929248e-14 3.7043117909188617e-14 4.030544213971037e-14 4.5173223847154904e-14 4.7445770435046553e-14 5.232395511708293e-14 5.4237657016236616e-14 6.193261891074324e-14 6.339742047847872e-14 7.032739666736622e-14 7.859438208901923e-14 8.191447383198605e-14 8.693928239730112e-14 9.344253816165557e-14 1.0056438533780496e-13 1.1141134233078319e-13 1.148976227731986e-13 1.274604599493497e-13 1.3534043209541787e-13 1.3934985784936146e-13 1.6347172331036109e-13 1.7045678511027852e-13 1.8507598684979513e-13 1.9028824454453352e-13 2.141930822332087e-13 2.3097574386686547e-13 2.4383919387492466e-13 2.505111963281053e-13 2.634515483745723e-13 3.0222157373657865e-13 3.046782080167731e-13 3.238128970991415e-13 3.6345834946368606e-13 3.798385989465504e-13 4.177289869546924e-13 4.319396917158625e-13 4.639143513926069e-13 4.825293952817896e-13 5.390361620802759e-13 5.368581162325214e-13 5.767621128679628e-13 6.085288286440959e-13 6.689224653466133e-13 7.046482108719097e-13 7.90297990643936e-13 8.150566246267919e-13 8.841250271505974e-13 9.397530683293573e-13 9.992190297043966e-13 1.042158027231297e-12 1.1286615249763814e-12 1.1974772688623836e-12 1.2421543717716793e-12 1.3472219505424046e-12 1.4420811188334892e-12 1.5452690054550796e-12 1.6455973588953138e-12 1.6849607835472199e-12 1.7656646693216273e-12 1.8872772505066227e-12 2.036453278564716e-12 2.233925182256949e-12 2.351541842802159e-12 2.495623628345721e-12 2.5708292064584087e-12 2.84280597684827e-12 2.831971855609432e-12 3.1483445336184514e-12 3.357991792981872e-12 3.4304948008452843e-12 3.7039378501814264e-12 3.972435855007244e-12 4.286402370106684e-12 4.408449511716945e-12 4.851509895834093e-12 5.0863221094929025e-12 5.292665491869921e-12 5.691803761181022e-12 6.103262247128241e-12 6.366950728665219e-12 6.856918006777821e-12 7.343122118080651e-12 7.705594798270226e-12 8.517946969957043e-12 8.850034505260799e-12 9.00628631888347e-12 9.840960132080418e-12 1.0465483148817861e-11 1.0971390412787716e-11 1.1844166968716796e-11 1.2382121642568692e-11 1.3135470219723062e-11 1.4240078973987862e-11 1.527262310035272e-11 1.6219308613484965e-11 1.69635246078631e-11 1.846669669236407e-11 1.8933542154792404e-11 2.036858205689177e-11
